Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteGhibli,IE 11,,2018-02-14 17:42:47,2018-02-14 17:43:38,"51,432s",FAILED
,,,,,,
Test Cases/Login,IE 11,,2018-02-14 17:42:49,2018-02-14 17:43:14,"25,200s",FAILED
openBrowser,IE 11,,2018-02-14 17:42:51,2018-02-14 17:43:12,"20,462s",PASSED
Statement - input_login = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_username),IE 11,,2018-02-14 17:43:12,2018-02-14 17:43:12,"0,023s",PASSED
Statement - input_pwd = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_password),IE 11,,2018-02-14 17:43:12,2018-02-14 17:43:12,"0,011s",PASSED
verifyElementPresent,IE 11,,2018-02-14 17:43:12,2018-02-14 17:43:14,"2,504s",FAILED
,,,,,,
Test Cases/Dashboard,IE 11,,2018-02-14 17:43:14,2018-02-14 17:43:17,"2,464s",FAILED
"Statement - maps = [com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_transferStatus), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_sourceQueueManager), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_destinationQueueManager), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_correlationID), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflowdashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflow), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_transfersearch), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_setting), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_monitordashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_logout), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_clearfilter), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_applyfilter)]",IE 11,,2018-02-14 17:43:15,2018-02-14 17:43:15,"0,160s",PASSED
Statement - total = 0,IE 11,,2018-02-14 17:43:15,2018-02-14 17:43:15,"0,001s",PASSED
Statement - ok = 0,IE 11,,2018-02-14 17:43:15,2018-02-14 17:43:15,"0,002s",PASSED
Statement - ko = 0,IE 11,,2018-02-14 17:43:15,2018-02-14 17:43:15,"0,002s",PASSED
Statement - For (def element : maps),IE 11,,2018-02-14 17:43:15,2018-02-14 17:43:17,"1,911s",PASSED
,,,,,,
Test Cases/DashboardTransportFilter,IE 11,,2018-02-14 17:43:17,2018-02-14 17:43:38,"21,264s",PASSED
Statement - select_status = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/transferStatusCLICK),IE 11,,2018-02-14 17:43:17,2018-02-14 17:43:17,"0,011s",PASSED
"Statement - optionMap = [""SUBMITTED"":""li_SUBMITTED"", ""SUSPENDED"":""li_SUSPENDED"", ""RESUMED"":""li_RESUMED"", ""STARTED"":""li_STARTED"", ""STARTED_RETRY"":""li_STARTED_RETRY"", ... ]",IE 11,,2018-02-14 17:43:17,2018-02-14 17:43:17,"0,001s",PASSED
"Statement - optionMap.each({ java.lang.Object optionIndex, java.lang.Object optionsValue -> ... })",IE 11,,2018-02-14 17:43:17,2018-02-14 17:43:34,"17,373s",PASSED
click,IE 11,,2018-02-14 17:43:34,2018-02-14 17:43:36,"1,130s",PASSED
click,IE 11,,2018-02-14 17:43:36,2018-02-14 17:43:37,"1,071s",PASSED
Statement - btn_clear = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_clearfilter),IE 11,,2018-02-14 17:43:37,2018-02-14 17:43:37,"0,004s",PASSED
Statement - btn_apply = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_applyfilter),IE 11,,2018-02-14 17:43:37,2018-02-14 17:43:37,"0,006s",PASSED
Statement - input_transferStatus = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_transferStatus),IE 11,,2018-02-14 17:43:37,2018-02-14 17:43:37,"0,004s",PASSED
click,IE 11,,2018-02-14 17:43:37,2018-02-14 17:43:38,"1,163s",PASSED
